IRH_PEM,Indice_Vil,Nom_PEM,Longitude,Latitude,XCoor,YCoor,Altitude,Code_Type_,Code_Final,Projet,Debut_Fora,Fin_Forati,Date_Rehab,Code_Socie,Profondeur,Profonde_1,Debit,Niveau_Sta,Code_Potab,Code_Coule,Code_Saveu,Etat_Super,Comite_Ges,CG_Operati,Artisan_Re,Residence_,Disponibil,Code_Frequ,Date_Entre,Observatio,Date_Creat,Date_Maj,NASA_GSE,AW3D_GSE,Avg_GSE,ELEV,WTE
796194,7520642,TALMARI,,,0,0,,Borehole,HV,UEMOA,7/28/08,7/31/08,,FORAC,125,"12,440,000,153",,108,,,,,,0,,,,,,,5/11/08,,,,,0,-108
467012,4310450,KOWAGONI,,,0,0,,Well,HV,,,,,,100,,,96.84999847,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-96.84999847
794640,74F0220,DAN AZOUMI ii,,,0,0,,Borehole,HV,DANIDA,5/30/05,6/2/05,,,136,136,"12,000,000,477",94.86000061,POT,SC,DOU,,,0,,,,,,MANQ FICH OUVRAGE,10/4/09,10/4/09,,,,0,-94.86000061
796330,7110240,GASSARI,,,0,0,,Borehole,HV,DANIDA,2/19/09,2/21/09,,I KAD,140,"13,894,000,244","29,800,000,191",84.83999634,POT,SC,DOU,,,0,,,,,,FICH TECHNIQ INCOMPLETE,2/4/10,2/4/10,,,,0,-84.83999634
467011,4350220,GARIN KARAMI,,,0,0,,Well,HV,,,,,,84.40000153,,,80.25,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-80.25
794639,74F0290,FOURIN ILIAS KOSHN KOUNOU,,,0,0,,Borehole,HV,DANIDA,5/25/05,5/27/05,,CGC,120,"11,669,000,244","0,76999998093",78.33999634,POT,SC,DOU,,,0,,,,,,,10/4/09,19/05/2009,,,,0,-78.33999634
796144,7520205,DAN MARKE II,,,0,0,,Borehole,HV,UEMOA,6/11/08,6/12/08,,FORAC,99,"98,5","2,510,999,918",76.36000061,POT,SC,DOU,,,0,,,,,,,30/10/2008,,,,,0,-76.36000061
727765,7470176,DAKATA,,,0,0,,Borehole,HV,DANIDA,5/10/90,5/11/90,,I KRU,90,0,"0,10000000149",72.90000153,,,,,,0,,,,,,"NON EXPLOITABLE, DEBIT TRES FAIBLE",20/05/2009,20/05/2009,,,,0,-72.90000153
466998,4310155,DOGON ITCHE,,,0,0,,Well,HV,,,,,,77.66999817,,,72.54000092,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-72.54000092
467019,4350310,GARIN SOULEY MAKADI,,,0,0,,Well,HV,,,,,,75.83000183,,,70.62999725,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-70.62999725
467020,4310605,SERKIN ATCHI OUMAROU,,,0,0,,Well,HV,,,,,,77.84999847,,,69.44999695,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-69.44999695
794661,7480598,KOUKOUYI MALAM YALO,,,0,0,,Borehole,HV,DANIDA,5/27/05,5/27/05,,CGC,115,"11,377,999,878","27,200,000,286",68.91000366,POT,SC,DOU,,,0,,,,,,,18/05/2009,18/05/2009,,,,0,-68.91000366
794638,74F0291,FARIN ILIAS KALGO,,,0,0,,Borehole,HV,DANIDA,5/27/05,5/27/05,,CGC,122.5,122,"0,82999998331",68.73000336,POT,SC,DOU,,,0,,,,,,,10/4/09,10/4/09,,,,0,-68.73000336
796142,74F0102,BANI CHANTIER,,,0,0,,Borehole,HV,UEMOA,6/4/08,6/5/08,,FORAC,112.5,"11,155,999,756","18,890,000,582",65.56999969,POT,SC,DOU,,,0,,,,,,,30/10/2008,,,,,0,-65.56999969
796143,7520345,GUIDAN ZAKARA,,,0,0,,Borehole,HV,UEMOA,6/13/08,6/14/08,,FORAC,99,97,"21,419,999,599",64.20999908,POT,SC,DOU,,,0,,,,,,,28/10/2008,28/10/2008,,,,0,-64.20999908
794662,7480881,TAOURIN TSAWA,,,0,0,,Borehole,HV,DANIDA,9/24/05,9/26/05,,CGC,164,"16,319,999,695",,64.18000031,,,,,,0,,,,,,"NON EXPLOITABLE, DEBIT FAIBLE",16/04/2010,16/04/2010,,,,0,-64.18000031
466991,4310672,ROUGA YAKAOU,,,0,0,,Well,,,,,,,66,,,62.75,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-62.75
796173,7520140,CHAFFA,,,0,0,,Borehole,HV,UEMOA,7/31/08,8/2/08,,FORAC,120,"11,945,999,908","30,840,001,106",61.36000061,,,,,,0,,,,,,,28/10/2008,28/10/2008,,,,0,-61.36000061
465853,4520580,ZONGON WANOU,,,0,0,,Well,HV,,,,,,65.40000153,65,,60.93000031,,,,,,0,,,,,,,,,,,,0,-60.93000031
794637,74F0601,MAI GODAHI,,,0,0,,Borehole,HV,DANIDA,5/25/05,5/27/05,,CGC,133,130,"3,5",60.61999893,,,,,,0,,,,,,,16/04/2010,16/04/2010,,,,0,-60.61999893
796134,7430110,BAKIMERAM,,,0,0,,Borehole,HV,UEMOA,6/5/08,6/8/08,,FORAC,103.5,"103,5","40,739,998,817",58.66999817,POT,SC,DOU,,,0,,,,,,,30/10/2008,30/10/2008,,,,0,-58.66999817
466995,4310032,BAZAI,,,0,0,,Well,HV,,,,,,64.54000092,,,58.56999969,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-58.56999969
467001,4330230,GARIN FAMA,,,0,0,,Well,HV,,,,,,64.54000092,,,58.56999969,,,,,,0,,,,,,,24/11/2008,24/11/2008,,,,0,-58.56999969
796195,7520246,GARIN HAKO,,,0,0,,Borehole,HV,UEMOA,8/3/08,8/4/08,,FORAC,120,108,"98,999,996,185",57.5,,,,,,0,,,,,,,5/11/08,,,,,0,-57.5
